语法分析完成, 0 error.
line 5: ,,分隔符       产生式: 参数列表1-->, 参数 参数列表1                 栈: # 声明串1 语句块 ) 参数列表1 参数 ,              
line 5: ,,分隔符                                               栈: # 声明串1 语句块 ) 参数列表1 参数                
line 5: int,关键字     产生式: 参数-->int ID                        栈: # 声明串1 语句块 ) 参数列表1 ID int            
line 5: int,关键字                                             栈: # 声明串1 语句块 ) 参数列表1 ID                
line 5: c,标识符       产生式: ID-->标识符                           栈: # 声明串1 语句块 ) 参数列表1 标识符               
line 5: c,标识符                                               栈: # 声明串1 语句块 ) 参数列表1                   
line 5: ),右括号       产生式: 参数列表1-->NULL                       栈: # 声明串1 语句块 )                         
line 5: ),右括号                                               栈: # 声明串1 语句块                           
line 6: {,左大括号      产生式: 语句块-->{ 内部声明 语句串 }                 栈: # 声明串1 } 语句串 内部声明 {                  
line 6: {,左大括号                                              栈: # 声明串1 } 语句串 内部声明                    
line 7: int,关键字     产生式: 内部声明-->内部声明1                       栈: # 声明串1 } 语句串 内部声明1                   
line 7: int,关键字     产生式: 内部声明1-->内部变量声明 ; 内部声明1             栈: # 声明串1 } 语句串 内部声明1 ; 内部变量声明          
line 7: int,关键字     产生式: 内部变量声明-->int ID                    栈: # 声明串1 } 语句串 内部声明1 ; ID int          
line 7: int,关键字                                             栈: # 声明串1 } 语句串 内部声明1 ; ID              
line 7: i,标识符       产生式: ID-->标识符                           栈: # 声明串1 } 语句串 内部声明1 ; 标识符             
line 7: i,标识符                                               栈: # 声明串1 } 语句串 内部声明1 ;                 
line 7: ;,界符                                                栈: # 声明串1 } 语句串 内部声明1                   
line 8: int,关键字     产生式: 内部声明1-->内部变量声明 ; 内部声明1             栈: # 声明串1 } 语句串 内部声明1 ; 内部变量声明          
line 8: int,关键字     产生式: 内部变量声明-->int ID                    栈: # 声明串1 } 语句串 内部声明1 ; ID int          
line 8: int,关键字                                             栈: # 声明串1 } 语句串 内部声明1 ; ID              
line 8: j,标识符       产生式: ID-->标识符                           栈: # 声明串1 } 语句串 内部声明1 ; 标识符             
line 8: j,标识符                                               栈: # 声明串1 } 语句串 内部声明1 ;                 
line 8: ;,界符                                                栈: # 声明串1 } 语句串 内部声明1                   
line 9: i,标识符       产生式: 内部声明1-->NULL                       栈: # 声明串1 } 语句串                         
line 9: i,标识符       产生式: 语句串-->语句 语句串1                      栈: # 声明串1 } 语句串1 语句                     
line 9: i,标识符       产生式: 语句-->赋值语句                          栈: # 声明串1 } 语句串1 赋值语句                   
line 9: i,标识符       产生式: 赋值语句-->ID = 表达式 ;                  栈: # 声明串1 } 语句串1 ; 表达式 = ID             
line 9: i,标识符       产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 ; 表达式 = 标识符            
line 9: i,标识符                                               栈: # 声明串1 } 语句串1 ; 表达式 =                
line 9: =,赋值号                                               栈: # 声明串1 } 语句串1 ; 表达式                  
line 9: 0,数值        产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式           
line 9: 0,数值        产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项        
line 9: 0,数值        产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子    
line 9: 0,数值        产生式: 因子-->num                           栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1 num   
line 9: 0,数值                                                栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1 项1       
line 9: ;,界符        产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 ; 表达式1 加法表达式1          
line 9: ;,界符        产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 ; 表达式1                 
line 9: ;,界符        产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 ;                      
line 9: ;,界符                                                栈: # 声明串1 } 语句串1                        
line 10: if,关键字     产生式: 语句串1-->语句 语句串1                     栈: # 声明串1 } 语句串1 语句                     
line 10: if,关键字     产生式: 语句-->if语句                          栈: # 声明串1 } 语句串1 if语句                   
line 10: if,关键字     产生式: if语句-->if ( 表达式 ) 语句块 else语句       栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式 ( if  
line 10: if,关键字                                             栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式 (     
line 10: (,左括号                                              栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式       
line 10: a,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式
line 10: a,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项
line 10: a,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 因子
line 10: a,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 FTYPE ID
line 10: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 FTYPE 标识符
line 10: a,标识符                                              栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 FTYPE
line 10: >,算符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1
line 10: >,算符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1
line 10: >,算符       产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1      
line 10: >,算符       产生式: 表达式1-->relop 加法表达式 表达式1            栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式 relop
line 10: >,算符       产生式: relop-->>                          栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式 >
line 10: >,算符                                               栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式
line 10: (,左括号      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项
line 10: (,左括号      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 因子
line 10: (,左括号      产生式: 因子-->( 表达式 )                       栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式 (
line 10: (,左括号                                              栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式
line 10: b,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式
line 10: b,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项
line 10: b,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 因子
line 10: b,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE ID
line 10: b,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE 标识符
line 10: b,标识符                                              栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE
line 10: +,算符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1
line 10: +,算符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1
line 10: +,算符       产生式: 加法表达式1-->+ 项 加法表达式1                栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项 +
line 10: +,算符                                               栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项
line 10: c,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 因子
line 10: c,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE ID
line 10: c,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE 标识符
line 10: c,标识符                                              栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE
line 10: ),右括号      产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1
line 10: ),右括号      产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1
line 10: ),右括号      产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 ) 表达式1
line 10: ),右括号      产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1 )
line 10: ),右括号                                              栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1 项1
line 10: ),右括号      产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1 加法表达式1
line 10: ),右括号      产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 else语句 语句块 ) 表达式1      
line 10: ),右括号      产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 else语句 语句块 )           
line 10: ),右括号                                              栈: # 声明串1 } 语句串1 else语句 语句块             
line 11: {,左大括号     产生式: 语句块-->{ 内部声明 语句串 }                 栈: # 声明串1 } 语句串1 else语句 } 语句串 内部声明 {    
line 11: {,左大括号                                             栈: # 声明串1 } 语句串1 else语句 } 语句串 内部声明      
line 12: j,标识符      产生式: 内部声明-->内部声明1                       栈: # 声明串1 } 语句串1 else语句 } 语句串 内部声明1     
line 12: j,标识符      产生式: 内部声明1-->NULL                       栈: # 声明串1 } 语句串1 else语句 } 语句串           
line 12: j,标识符      产生式: 语句串-->语句 语句串1                      栈: # 声明串1 } 语句串1 else语句 } 语句串1 语句       
line 12: j,标识符      产生式: 语句-->赋值语句                          栈: # 声明串1 } 语句串1 else语句 } 语句串1 赋值语句     
line 12: j,标识符      产生式: 赋值语句-->ID = 表达式 ;                  栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式 = ID
line 12: j,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式 = 标识符
line 12: j,标识符                                              栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式 =  
line 12: =,赋值号                                              栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式    
line 12: a,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式
line 12: a,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项
line 12: a,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 因子
line 12: a,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE ID
line 12: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 标识符
line 12: a,标识符                                              栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE
line 12: +,算符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1
line 12: +,算符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1
line 12: +,算符       产生式: 加法表达式1-->+ 项 加法表达式1                栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项 +
line 12: +,算符                                               栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项
line 12: (,左括号      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 因子
line 12: (,左括号      产生式: 因子-->( 表达式 )                       栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式 (
line 12: (,左括号                                              栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式
line 12: b,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式
line 12: b,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项
line 12: b,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 因子
line 12: b,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE ID
line 12: b,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE 标识符
line 12: b,标识符                                              栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE
line 12: *,算符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1
line 12: *,算符       产生式: 项1-->* 因子 项1                       栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 因子 *
line 12: *,算符                                               栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 因子
line 12: c,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE ID
line 12: c,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE 标识符
line 12: c,标识符                                              栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 FTYPE
line 12: +,算符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1
line 12: +,算符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1
line 12: +,算符       产生式: 加法表达式1-->+ 项 加法表达式1                栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项 +
line 12: +,算符                                               栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项
line 12: 1,数值       产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 因子
line 12: 1,数值       产生式: 因子-->num                           栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1 num
line 12: 1,数值                                               栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1 项1
line 12: ),右括号      产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1 加法表达式1
line 12: ),右括号      产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 ) 表达式1
line 12: ),右括号      产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1 )
line 12: ),右括号                                              栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1 项1
line 12: ;,界符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1 加法表达式1
line 12: ;,界符       产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 else语句 } 语句串1 ; 表达式1   
line 12: ;,界符       产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 else语句 } 语句串1 ;        
line 12: ;,界符                                               栈: # 声明串1 } 语句串1 else语句 } 语句串1          
line 13: },右大括号     产生式: 语句串1-->NULL                        栈: # 声明串1 } 语句串1 else语句 }               
line 13: },右大括号                                             栈: # 声明串1 } 语句串1 else语句                 
line 14: else,关键字   产生式: else语句-->else 语句块                  栈: # 声明串1 } 语句串1 语句块 else               
line 14: else,关键字                                           栈: # 声明串1 } 语句串1 语句块                    
line 15: {,左大括号     产生式: 语句块-->{ 内部声明 语句串 }                 栈: # 声明串1 } 语句串1 } 语句串 内部声明 {           
line 15: {,左大括号                                             栈: # 声明串1 } 语句串1 } 语句串 内部声明             
line 16: j,标识符      产生式: 内部声明-->内部声明1                       栈: # 声明串1 } 语句串1 } 语句串 内部声明1            
line 16: j,标识符      产生式: 内部声明1-->NULL                       栈: # 声明串1 } 语句串1 } 语句串                  
line 16: j,标识符      产生式: 语句串-->语句 语句串1                      栈: # 声明串1 } 语句串1 } 语句串1 语句              
line 16: j,标识符      产生式: 语句-->赋值语句                          栈: # 声明串1 } 语句串1 } 语句串1 赋值语句            
line 16: j,标识符      产生式: 赋值语句-->ID = 表达式 ;                  栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式 = ID      
line 16: j,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式 = 标识符     
line 16: j,标识符                                              栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式 =         
line 16: =,赋值号                                              栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式           
line 16: a,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式    
line 16: a,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项 
line 16: a,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 因子
line 16: a,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE ID
line 16: a,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE 标识符
line 16: a,标识符                                              栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1 FTYPE
line 16: ;,界符       产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1 项1
line 16: ;,界符       产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1 加法表达式1   
line 16: ;,界符       产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式1          
line 16: ;,界符       产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 } 语句串1 ;               
line 16: ;,界符                                               栈: # 声明串1 } 语句串1 } 语句串1                 
line 17: },右大括号     产生式: 语句串1-->NULL                        栈: # 声明串1 } 语句串1 }                      
line 17: },右大括号                                             栈: # 声明串1 } 语句串1                        
line 18: while,关键字  产生式: 语句串1-->语句 语句串1                     栈: # 声明串1 } 语句串1 语句                     
line 18: while,关键字  产生式: 语句-->while语句                       栈: # 声明串1 } 语句串1 while语句                
line 18: while,关键字  产生式: while语句-->while ( 表达式 ) 语句块        栈: # 声明串1 } 语句串1 语句块 ) 表达式 ( while      
line 18: while,关键字                                          栈: # 声明串1 } 语句串1 语句块 ) 表达式 (            
line 18: (,左括号                                              栈: # 声明串1 } 语句串1 语句块 ) 表达式              
line 18: i,标识符      产生式: 表达式-->加法表达式 表达式1                   栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式       
line 18: i,标识符      产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1 项    
line 18: i,标识符      产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1 项1 因子
line 18: i,标识符      产生式: 因子-->ID FTYPE                      栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1 项1 FTYPE ID
line 18: i,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1 项1 FTYPE 标识符
line 18: i,标识符                                              栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1 项1 FTYPE
line 18: <=,算符      产生式: FTYPE-->NULL                       栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1 项1   
line 18: <=,算符      产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1      
line 18: <=,算符      产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 语句块 ) 表达式1             
line 18: <=,算符      产生式: 表达式1-->relop 加法表达式 表达式1            栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式 relop 
line 18: <=,算符      产生式: relop--><=                         栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式 <=    
line 18: <=,算符                                              栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式       
line 18: 100,数值     产生式: 加法表达式-->项 加法表达式1                   栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1 项    
line 18: 100,数值     产生式: 项-->因子 项1                          栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1 项1 因子
line 18: 100,数值     产生式: 因子-->num                           栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1 项1 num
line 18: 100,数值                                             栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1 项1   
line 18: ),右括号      产生式: 项1-->NULL                          栈: # 声明串1 } 语句串1 语句块 ) 表达式1 加法表达式1      
line 18: ),右括号      产生式: 加法表达式1-->NULL                      栈: # 声明串1 } 语句串1 语句块 ) 表达式1             
line 18: ),右括号      产生式: 表达式1-->NULL                        栈: # 声明串1 } 语句串1 语句块 )                  
line 18: ),右括号                                              栈: # 声明串1 } 语句串1 语句块                    
line 19: {,左大括号     产生式: 语句块-->{ 内部声明 语句串 }                 栈: # 声明串1 } 语句串1 } 语句串 内部声明 {           
line 19: {,左大括号                                             栈: # 声明串1 } 语句串1 } 语句串 内部声明             
line 20: i,标识符      产生式: 内部声明-->内部声明1                       栈: # 声明串1 } 语句串1 } 语句串 内部声明1            
line 20: i,标识符      产生式: 内部声明1-->NULL                       栈: # 声明串1 } 语句串1 } 语句串                  
line 20: i,标识符      产生式: 语句串-->语句 语句串1                      栈: # 声明串1 } 语句串1 } 语句串1 语句              
line 20: i,标识符      产生式: 语句-->赋值语句                          栈: # 声明串1 } 语句串1 } 语句串1 赋值语句            
line 20: i,标识符      产生式: 赋值语句-->ID = 表达式 ;                  栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式 = ID      
line 20: i,标识符      产生式: ID-->标识符                           栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式 = 标识符     
line 20: i,标识符                                              栈: # 声明串1 } 语句串1 } 语句串1 ; 表达式 =         
